ID,Term,Chinese,Language
4223,hard palate,硬口蓋,英
4224,Hardanger Fiedel {Ger.},哈丹格提琴,德
4225,hardi {Fr.},大膽的,法
4226,harding fiddle,哈丹格提琴,英
4227,hardingfela {Nor.},哈丹格提琴,挪威
4228,Harfe {Ger.},豎琴,德
4229,Harlekin {Ger.},丑角,德
4230,Harlem jazz,哈林爵士樂,英
4231,harlequin,丑角,英
4232,harmoniai {Gr.},八度規則,希
4233,harmonic analysis,和聲分析,英
4234,harmonic bass,合成低音音栓（管風琴）,英
4235,harmonic chromatic scale,和聲半音階,英
4236,harmonic figuration,和弦音型,英
4237,harmonic figure,和聲音型,英
4238,harmonic flute,泛音長笛音栓（管風琴）,英
4239,harmonic instrument,和聲樂器,英
4240,harmonic interval,和聲音程,英
4241,harmonic major scale,和聲大音階,英
4242,harmonic minor scale,和聲小音階,英
4243,harmonic overtone,泛音；倍音,英
4244,harmonic progression,和聲進行,英
4245,harmonic rhythm,和聲節奏,英
4246,harmonic sequence,和聲模進,英
4247,harmonic series,泛音列,英
4248,harmonic tone,和聲音,英
4249,harmonic trumpet,泛音小號音栓（管風琴）,英
4250,harmonica,口琴,英
4251,harmonica à bouche {Fr.},口琴,法
4252,harmonica de franklin {Fr.},玻璃琴,法
4253,harmonicon,哈莫尼康琴,英
4254,harmonics,泛音,英
4255,Harmonie de la dominante {Fr.},屬和聲,法
4256,harmonie de la sous dominante {Fr.},下屬和弦,法
4257,harmonie de la tonique {Fr.},主和聲,法
4258,harmonie fonctionelle {Fr.},功能和聲,法
4259,harmonie {Fr.},和聲；和聲學；管樂合奏｛管樂部份｝,法
4260,Harmonie {Ger.},和聲；和聲學；管樂合奏｛管樂部份｝,德
4261,"harmonie, cord' {Fr.}",手號,法
4262,harmonieeigener Ton {Ger.},和聲音；和弦音,德
4263,Harmoniefremder Ton {Ger.},和聲外音；非和弦（絃）音,德
4264,Harmonielehre {Ger.},和聲學,德
4265,Harmoniemusik {Ger.},管樂音樂,德
4266,Harmonik {Ger.},和聲法,德
4267,Harmonikon {Ger.},哈莫尼康琴,德
4268,harmoniques supérieures {Fr.},泛音,法
4269,Harmonische Durtonleiter {Ger.},和聲大音階,德
4270,harmonische Figurierung {Ger.},和弦音型,德
4271,Harmonische Molltonleiter {Ger.},和聲小音階,德
4272,harmonische Sequenz {Ger.},和聲模進,德
4273,harmonischer Dualismus {Ger.},和聲二元論,德
4274,harmonischer Oberton {Ger.},泛音,德
4275,harmonisches Intervall {Ger.},和聲音程,德
4276,harmonium,簧風琴,英
4277,harmonizing of melody,曲調和聲法,英
4278,harmony,和聲；和聲學,英
4279,harmony of the spheres,天體和聲,英
4280,harp,豎琴,英
4281,harp éolienne {Fr.},風鳴琴,法
4282,harp guitar,豎琴吉他,英
4283,harp lute,魯特豎琴,英
4284,harp stop,音栓｛管風琴；大鍵琴｝,英
4285,harpe d'Eole {Fr.},風鳴琴,法
4286,harpe luth {Fr.},魯特豎琴,法
4287,harpe {Fr.},豎琴,法
4288,harpo lyre {Fr.},阿爾波里爾琴,法
4289,harpsichord,大鍵琴,英
4290,harte Gaumen {Ger.},硬口蓋,德
4291,hartverminderter Dreiklang {Ger.},硬減三和弦,德
4292,Hasosra {Heb.},哈梭斯拉號,希伯來
4293,haubois baryton {Fr.},上低音雙簧管,法
4294,haubois {Fr.},雙簧管,法
4295,Hauptdreikänge {Ger.},主三和弦,德
4296,Hauptharmonie {Ger.},基本和聲,德
4297,Hauptprobe {Ger.},整裝彩排,德
4298,Hauptsatz {Ger.},主要樂節,德
4299,Hauptstimme{Ger.},主聲部,德
4300,Hauptthema {Ger.},主要主題,德
4301,Hauptton {Ger.},主要音,德
4302,Haupttonart {Ger.},主調,德
4303,Hauptwerk {Ger.},主要管群｛管風琴｝,德
4304,haut {Fr.},高的｛聲音或音量｝,法
4305,hautbois d'amour {Fr.},柔音雙簧管,法
4306,hautbois de chasse {Fr.},狩獵雙簧管,法
4307,hautbois {Fr.},雙簧管,法
4308,hautboy,雙簧管,英
4309,hauteur absolue {Fr.},絕對音高,法
4310,hauteur de son {Fr.},音高,法
4311,Hawaiian guitar,夏威夷吉他,英
4312,hbilité musicale {Fr.},音樂能力,法
4313,head,符頭,英
4314,head arrange(arrangement),口頭編曲,英
4315,head register,頭聲區,英
4316,head resonance,頭腔共鳴,英
4317,head tone,頭聲,英
4318,head voice,頭聲；主唱,
4319,head voice resonance,頭腔共鳴,英
4320,hearing,聽覺,英
4321,hearing organ,聽覺器官,英
4322,heavy metal,重金屬｛音樂｝,英
4323,Hebdomada sancta {Lat.},聖週,拉
4324,Heckelclarina,黑克爾單簧管,英
4325,heckelphone,黑克爾雙簧管,英
4326,heel,弓根；弦枕,英
4327,heftig {Ger.},粗暴的；魯莽的,德
4328,Heimlich {Ger.},沉默的；隱密的,德
4329,held part,持續音,英
4330,Heldenbariton {Ger.},英雄男中音,德
4331,Heldentenor {Ger.},英雄男高音,德
4332,helicon,赫利孔低音號；赫利孔音栓,英
4333,Hellflöte {Ger.},嘹亮哨笛音栓（管風琴）,德
4334,Helmholtz resonator,亥姆霍茲共鳴器,英
4335,Helmholtzscher Resonator {Ger.},亥姆霍茲共鳴器,德
4336,hemidemisemiquaver,六十四分音符,英
4337,hemidemisemiquaver rest,六十四分休止符,英
4338,hemiola {Gr.},三比二,希
4339,hemiolia {Gr.},三比二,希
4340,hemitone,半音,英
4341,hemitonium {Lat.},半音,拉
4342,heptachord,七聲音階,英
4343,heptachorde {Fr.},七弦古大提琴,法
4344,heptatonic,七聲音階；七聲調式,英
4345,heptatonic scale,七聲音階,英
4346,Heptatonik {Ger.},七聲音階,德
4347,heptatonique {Fr.},七聲音階,法
4348,Heptatonisch {Ger.},七聲音階,德
4349,heptatonische Tonleiter {Ger.},七聲音階,德
4350,Herabstrich {Ger.},下弓,德
4351,heroic tenor,英雄男高音,英
4352,Hertz {Ger.},赫；赫茲,德
4353,Herunterstrich {Ger.},下弓,德
4354,Herzhaft {Ger.},大膽的；勇敢的,德
4355,Herzig {Ger.},深情的,德
4356,Heses {Ger.},重降Ｂ,德
4357,hetero- {Gr.},不同,希
4358,heterochord,異體弦,英
4359,heteroglot,異體簧,英
4360,heterometer,異拍子,英
4361,heterophony,異音音樂；支音音樂,英
4362,hexachord,六音組；六音音階,英
4363,Hexachord {Ger.},六音組；六音音階,德
4364,hexachorde {Fr.},六音組；六音音階,法
4365,hexatonic,六聲音階；六聲調式,英
4366,hi hat cymbals,帽鈸,英
4367,hidden consecutives,隱伏連續,英
4368,hidden fifths,隱伏五度,英
4369,hidden octaves,隱伏八度,英
4370,hidden unisons,隱伏同度,英
4371,High baritone,高男中音,英
4372,high clarinet,小單簧管,英
4373,high frequency,高頻率,英
4374,High Mass,莊嚴彌撒,英
4375,Hilfslinie {Ger.},加線,德
4376,hillbilly {Amer.},山區音樂,美
4377,Hinstrich（德）,上弓,德
4378,Hintersatz {Ger.},後樂節,德
4379,Hinzugefügte Sexte {Ger.},加六和弦,德
4380,His {Ger.},升Ｂ,德
4381,histoire de la musique {Fr.},音樂史,法
4382,history of music,音樂史,英
4383,hitschiriki,日本篳篥,英
4384,hityokin,一節切（日本樂器）,英
4385,Hob,海頓作品編號,德
4386,Hoboe {Ger.},雙簧管,德
4387,Hoboken,海頓作品編號,德
4388,Hobusi,火不思琴,蒙
4389,Hochamt {Ger.},莊嚴彌撒,德
4390,hochet {Fr.},嘎嘎器；搖響器,法
4391,Hochfrequenz {Ger.},高頻率,德
4392,Hochzeitmarsch {Ger.},結婚進行曲,德
4393,hocket,斷續歌,英
4394,Hocketus {Lat.},斷續歌,拉
4395,hocquet {Fr.},斷續歌,法
4396,Hofkapelle {Ger.},宮廷教堂,德
4397,Hofmusik {Ger.},宮廷音樂,德
4398,Hofoper {Ger.},宮廷歌劇院,德
4399,Hoftanz {Ger.},宮廷舞曲,德
4400,hoketus {Lat.},斷續歌,拉
4401,hold,停留記號，延長記號；延長音,英
4402,Holy Saturday,聖週六,英
4403,holy week,聖週,英
4404,Holzblasinstrumente {Ger.},木管樂器,德
4405,Holzblock {Ger.},木魚,德
4406,Holzharmonika {Ger.},木琴,德
4407,Holztrompete {Ger.},木號,德
4408,Hommel {Ger.},霍梅爾琴,德
4409,homophonic music,主曲調音樂；主旋律音樂,英
4410,Homophonie {Fr.},主曲調音樂；主旋律音樂,法
4411,Homophonie {Ger.},主曲調音樂；主旋律音樂,德
4412,homophony,主曲調音樂；主旋律音樂,英
4413,homorhythm,等節奏；同節奏,英
4414,homorhythmic,同節奏；等節奏,英
4415,Homorhythmik {Ger.},等節奏；同節奏,德
4416,homorythmie {Fr.},等節奏；同節奏,法
4417,hook,符尾,英
4418,hopak,戈帕克舞曲,烏克蘭
4419,hopak gopak,戈帕克舞曲,烏克蘭
4420,hopak {Russ.},戈帕克舞曲,俄
4421,hoquet {Fr.},斷續歌,法
4422,hoquetio {Lat.},斷續歌,拉
4423,hoquetus {Lat.},斷續歌,拉
4424,Horǎ,霍拉舞曲,羅馬尼亞
4425,Horǎ lungǎ,霍拉倫卡,羅馬尼亞
4426,Horae {Lat.},日課,拉
4427,Hörbarkeitsgrenzen {Ger.},聽覺極限,德
4428,Hören {Ger.},聽,德
4429,Hörfeld {Ger.},聽域,德
4430,Hörgrenzen {Ger.},聽覺極限,德
4431,Hörmessung {Ger.},聽力檢查,德
4432,horn family,圓號家族,英
4433,horn fifths,號五度｛自然號隱伏五度｝,英
4434,Horn {Ger.},號角，圓號；號角音栓｛管風琴｝,英˙德
4435,hornpipe,號管；號管舞曲,英
4436,Hornquinten {Ger.},號五度｛自然號隱伏五度｝,德
4437,Hornwerk {Ger.},報時號,德
4438,horologium {Lat.},車鈴,拉
4439,hot Jazz,熱爵士樂,英
4440,HP,快速錄放,英
4441,huaiño {Sp.},烏艾紐舞曲,西
4442,huapango {Sp.},瓦邦戈舞曲,西
4443,Huayra-puhur {Sp.},烏艾拉-普吾爾簫,西
4444,huchet {Fr.},獵號｛小號角｝,法
4445,Hügel {Ger.},鋼琴,德
4446,huitième De soupir {Fr.},三十二分音符,法
4447,humanist music,人文主義音樂,英
4448,humming,哼唱；閉口唱,英
4449,Humoreske {Ger.},幽默曲,德
4450,humoresque {Fr.},幽默曲,法
4451,Hungarian scale,匈牙利音階,英
4452,hunting horn,獵號,英
4453,Hupfauf {Ger.},後續舞曲,德
4454,hurdy-gurdy,搖弦（絃）琴,英
4455,Hurtig {Ger.},迅速的；靈活的,德
4456,hydraulic organ,水壓風琴,英
4457,hydraulis {Gr.},水壓風琴,希
4458,hydraulus {Lat.},水壓風琴,拉
4459,hymn,讚美歌,英
4460,hymn tune,讚美歌調,英
4461,Hymne d'Ambroise {Fr.},安布羅斯聖歌,法
4462,hymne national {Fr.},國歌,法
4463,hymne {Fr.},讚美歌,法
4464,Hymnus {Ger.},讚美歌,德
4465,hymnus {Lat.},讚美歌,拉
4466,hypo-aeolian,副伊奧利安調式,英
4467,hypo-aeolian mode,副伊奧利安調式,英
4468,hypo-dorian,副多里安調式,英
4469,hypo-ionian,副艾奧尼安調式,英
4470,hypo-locrian,副洛克里安調式,英
4471,hypo-lydian,副利地安調式,英
4472,hypo-mixolydian,副米索利地安調式,英
4473,hypo-phrygian,副弗里吉安調式,英
4474,hypo-phrygian mode,副弗里吉安調式,英
4475,Hypodorisch {Ger.},副多里安調式,德
4476,hypolydian mode,副利地安調式,英
4477,Hypolydisch {Ger.},副利地安調式,德
4478,Hypomixolidisch {Ger.},副米索利地安調式,德
4479,hypomixolydian mode,副米索利地安調式,英
4480,hypophrygian mode,副弗里吉安調式,英
4481,Hypophrygisch {Ger.},副弗里吉安調式,德
4482,Hyporchema {Gr.},古希臘頌歌,希
4483,iconographie musicale {Fr.},音樂圖像學,法
4484,iconography of music,音樂圖像學,英
4485,iconology,圖像學,英
4486,idée fixe {Fr.},固定樂思,法
4487,idillio {It.},牧歌,義
4488,idiochord,同體弦,英
4489,idioglot,同體簧,英
4490,idiomelon {Gr.},自旋律,希
4491,Idiophon {Ger.},體鳴樂器,德
4492,idiophone,體鳴樂器,英
4493,idyll,田園曲；牧歌,英
4494,Ikonologie {Ger.},圖像學,德
4495,Il più {It.},最…的；十分,義
4496,illustrative music,釋述音樂,英
4497,îlot tonal {Fr.},音島,法
4498,imagination,想像,英
4499,imbroglio,欺騙的；錯綜法,義
4500,imitation,模仿,英
4501,imitation by augmentation,增值模仿,英
4502,imitation by diminution,減值模仿,英
4503,imitation by inversion,反向模仿,英
4504,imitative accompaniment,模仿伴奏,英
4505,imitative counterpoint,模仿對位法,英
4506,imitative music,模仿音樂,英
4507,imitazion {It.},模仿,義
4508,Imitierender Kontrapunkt {Ger.},模仿對位法,德
4509,immer {Ger.},一直,德
4510,imperfect cadence,不完全終止,英
4511,imperfect chord,不完全和弦,英
4512,imperfect consonance,不完全協和；不完全協和音,英
4513,imperfect consonant interval,不完全協和音程,英
4514,imperfect interval,不完全音程,英
4515,imperfect time,不完全節拍,英
4516,imperfectio {Lat.},不完全,拉
4517,impeto {It.},熱烈；激烈,義
4518,impétueux {Fr.},激烈的；魯莽的；猛烈的,法
4519,impetuoso {It.},激烈的；魯莽的,義
4520,impresario {It.},音樂經理；劇院經理,義
4521,Impressionism,印象主義；印象樂派,英
4522,Impressionismo {It.},印象主義；印象樂派,義
4523,Impressionismus {Ger.},印象主義；印象樂派,德
4524,Impressionnisme {Fr.},印象主義；印象樂派,法
4525,impromptu {Fr.},即興曲,法
4526,improvisation,即興演奏（唱）,英
4527,in alt {It.},高音區,義
4528,In nomine {Lat.},聖名曲,拉
4529,in seculum {Lat.},二聲部曲,拉
4530,in tempo {It.},按原速；嚴守節拍,義
4531,inactive scale step,靜音級,英
4532,Inca music,印加音樂,英
4533,incalzando {It.},加緊加快的,義
4534,incidental music,配樂,英
4535,incidental variation,偶然變奏,英
4536,incipit {Lat.},起始句,拉
4537,incomplete bar,不完全小節,英
4538,incomplete chord,不完全和弦（絃）,英
4539,incomplete counter exposition,不完全次呈示部,英
4540,incomplete entry,不完全進入,英
4541,incomplete exposition,不完全呈示部,英
4542,incomplete major ninth,不完全大九和弦（絃）,英
4543,incomplete measure,不完全小節,英
4544,incomplete motive,不完全動機,英
4545,incudine {It.},鐵砧,義
4546,indeciso {It.},未定的；遲疑的,義
4547,indefinite form,不定形式,英
4548,independent chord,獨立和弦（絃）,英
4549,indication de tempo {Fr.},速度記號,法
4550,indication métronomique {Fr.},節拍器記號,法
4551,indicazione di misura {It.},拍子記號,義
4552,indicazione di tempo {It.},速度記號,義
4553,indicazione metronomica {It.},節拍器記號,義
4554,indirect extraneous modulation,間接遠系轉調,英
4555,indirectum {Lat.},直詠的,拉
4556,Individualstil {Ger.},個人風格,德
4557,infinite canon,無終卡農,英
4558,inflection,起伏音調,英
4559,ingressa {Lat.},進堂詠,拉
4560,inharmonic note,和聲外音；非和弦（絃）音,英
4561,inhurmonic relation,假關係,英
4562,initium {Lat.},啟始句｛素歌｝；聲調，發音調節,拉
4563,inner ear,內耳,英
4564,inner part,內聲部,英
4565,inner voice,內聲部,英
4566,Inners Ohr {Ger.},內耳,德
4567,innig {Ger.},由衷的,德
4568,Inno ambrosiano {It.},安布羅斯聖歌,義
4569,inno nazionale {It.},國歌,義
4570,inno {It.},讚美歌,義
4571,innocemment {Fr.},天真的,法
4572,innocente {It.},天真的；純潔的,義
4573,inquiet {Fr.},不安的；不穩的,法
4574,inquieto {It.},不安的,義
4575,inständig {Ger.},迫切的,德
4576,instante {It.},急切的；緊迫的,義
4577,instruction musicale {Fr.},音樂教育,法
4578,instrument à anche {Fr.},簧樂器,法
4579,instrumént à cordes frappées {Fr.},擊弦樂器,法
4580,instrument à cordes {Fr.},弦樂器,法
4581,Instrument à percussion {Fr.},擊樂器,法
4582,instrument à vent en bois {Fr.},木管樂器,法
4583,instrument à vent {Fr.},管樂器,法
4584,instrument de musique électronique {Fr.},電子樂器,法
4585,instrument {Fr.},樂器,英˙法
4586,instrumental music,器樂,英
4587,Instrumentalmusik {Ger.},器樂,德
4588,instrumentation {Fr.},樂器學；配器法；樂器法,英˙法
4589,Instrumente {Ger.},樂器,德
4590,Instrumentenkunde {Ger.},樂器學；配器法,德
4591,Instrumentierung {Ger.},配器法,德
4592,instrumento {It.},樂器,義
4593,instruments à clavier{Fr.},鍵盤樂器,法
4594,instruments de cuivre {Fr.},銅管樂器,法
4595,instruments {Fr.},樂器,法
4596,intavolatura {It.},改編曲,義
4597,integer valor {Lat.},正常音值,拉
4598,intellectual property,智慧財產權,英
4599,Intendant {Ger.},歌劇院經理人,德
4600,intendente {Sp.},歌劇院經理人,西
4601,intensité sonore {Fr.},音強,法
4602,intensity,強度,英
4603,intensity of sound,音之強度,英
4604,interal ear,內耳,英
4605,intercepted fifth,遮斷五度,英
4606,intercepted octave,遮斷八度,英
4607,interchange of modes,調式交替,英
4608,interconnection of chords,和弦（絃）連結法,英
4609,interepido {It.},英勇的,義
4610,interference,干擾,英
4611,interférence {Fr.},干擾,法
4612,Interferenz {Ger.},干擾,德
4613,interferenza {It.},干擾,義
4614,interlude,間奏；插句,英
4615,interludium {Lat.},間奏；插句,拉
4616,intermède {Fr.},間奏曲,法
4617,intermedia,集藝手法,英
4618,intermedio {It.},間奏曲,義
4619,intermedium {Lat.},間奏曲,拉
4620,intermezzo {It.},間奏曲；幕間劇；幕间曲；間奏,義
4621,intermittence tone,間歇音,英
4622,Intermittenztion {Ger.},間歇音,德
4623,Intermodalität {Ger.},交感性,德
4624,intermodalité {Fr.},交感性,法
4625,intermodality,交感性,英
4626,International Association of Music Libraries (IAML),國際音樂資料檔案協會,英
4627,international pitch,國際音高,英
4628,International Society for Contemporary Music [ISCM],國際現代音樂協會,英
4629,International Society of Music Education (ISME),國際音樂教育學會,英
4630,Internationale Gesellschaft Für Neue Musik (IGNM) {Ger.},國際現代音樂協會,德
4631,interpolation of bar,插入小節,英
4632,interpolation of beat,插入拍,英
4633,interpretation {Ger.},詮釋,英˙德
4634,interpretazione {It.},詮釋,義
4635,interpreter,詮釋者,英
4636,interrupted cadence,假終止,英
4637,interrupted imitation,間歇模仿,英
4638,intertone,中間音,英
4639,interval,音程,英
4640,Intervall {Ger.},音程,德
4641,intervalle augmenté {Fr.},增音程,法
4642,intervalle chromatique {Fr.},變化音程,法
4643,intervalle complémantaire {Fr.},轉位音程,法
4644,intervalle composé,複音程,法
4645,intervalle consonant imparfaite {Fr.},不完全協和音程,法
4646,intervalle consonant {Fr.},協和音程,法
4647,intervalle diatonique {Fr.},自然音程,法
4648,Intervalle diminué {Fr.},減音程,法
4649,intervalle dissonant {Fr.},不協和音程,法
4650,intervalle harmonique {Fr.},和聲音程,法
4651,intervalle juste {Fr.},完全音程,法
4652,intervalle majeur {Fr.},大音程,法
4653,intervalle mineure {Fr.},小音程,法
4654,intervalle mort {Fr.},死音程,法
4655,intervalle {Fr.},音程,法
4656,intervallo armonico {It.},和聲音程,義
4657,intervallo aumentato {It.},增音程,義
4658,intervallo complementare {It.},轉位音程,義
4659,Intervallo composto {Ger.},複音程,義
4660,intervallo consonante imperfetta {It.},不完全協和音程,義
4661,intervallo consonante {It.},協和音程,義
4662,intervallo cromatico {It.},變化音程,義
4663,intervallo diatonico {It.},自然音程,義
4664,Intervallo diminuito,減音程,義
4665,intervallo dissonante {It.},不協和音程,義
4666,intervallo giusto {It.},完全音程,義
4667,intervallo maggiore {It.},大音程,義
4668,intervallo minore {It.},小音程,義
4669,intervallo morto {It.},死音程,義
4670,intervallo {It.},音程,義
4671,intonatio {Lat.},啟始句｛素歌｝；聲調，發音調節,拉
4672,intonation,啟始句｛素歌｝；聲調，發音調節；音準,英
4673,Intonation formula,啟始句｛素歌｝；聲調，發音調節,英
4674,intonation juste {Fr.},純律,法
4675,intonazione {It.},提示曲；音準,義
4676,intoning,單音詠唱,英
4677,intrada {It.},開場樂,義˙英
4678,intrepido {It.},大膽的,義
4679,introduction,導奏,英
4680,introduction {Fr.},導奏,英˙法
4681,introduzione {It.},導奏,義
4682,introit,進堂詠,英
4683,introït {Fr.},進堂詠,法
4684,Introitus {Ger.},進堂詠,德
4685,introitus {Lat.},進堂詠,拉
4686,Inventio {Lat.},創意曲,拉
4687,Invention {Ger.}{Fr.},創意曲,英˙法˙德
4688,Inventionshorn {Ger.},創意號,德
4689,Inventiontrompete {Ger.},創意小號,德
4690,Invenzione {It.},創意曲,義
4691,inversion,轉位；反向,英
4692,inversion of chord,和弦（絃）轉位,英
4693,inversion of interval,音程轉位,英
4694,inverted cadence,轉位終止,英
4695,inverted canon,反向卡農,英
4696,inverted chord,轉位和弦,英
4697,inverted dotting,逆附點,英
4698,inverted fugue,轉位復格,英
4699,inverted interval,轉位音程,英
4700,inverted mordent,逆漣音,英
4701,inverted organ point,轉位持續音,英
4702,inverted pedal note,轉位持續音,英
4703,inverted subject,反向主題,英
4704,inverted turn,逆迴音,英
4705,invertible canon,轉位卡農,英
4706,invertible counterpoint,轉位對位,英
4707,Inzidenzmusik {Ger.},配樂,德
4708,ioculator {Lat.},樂師,拉
4709,ionian mode,艾奧尼安調式,英
4710,ionian scale,艾奧尼安音階,英
4711,Ionisch {Ger.},艾奧尼安調式,德
4712,ippaki-ni {Fr.},鹿笛,法
4713,Ipuhula,伊普葫,英
4714,iratamente {It.},憤怒的,義
4715,Irish harp,愛爾蘭豎琴,英
4716,irregular accent,不規則強音,英
4717,irregular answer,不規則答句,英
4718,irregular meter,變化拍子,英
4719,irregular resolution,不規則解決,英
4720,irregular rhythm,不規則節奏,英
4721,irregular rondo,不規則輪旋曲,英
4722,irregular sequence,不規則模進,英
4723,irregular time,變化拍子,英
4724,isolated entry,孤立進入,英
4725,isomelic,同旋律,英
4726,isomelico {It.},同旋律,義
4727,isomélique {Fr.},同旋律,法
4728,Isomelisch {Ger.},同旋律,德
4729,Isomelodisch {Ger.},同旋律,德
4730,isometric,等節拍,英
4731,Isometrisch {Ger.},等節拍,德
4732,isorhythm,同節奏,英
4733,Isorhythmisch {Ger.},同節奏,德
4734,isosyllabic,同音節,英
4735,Isosyllabisch {Ger.},同音節,德
4736,istanpitta {It.},中世紀舞樂,義
4737,istruzione musicale {It.},音樂教育,義
4738,Italian overture,義大利式序曲,英
4739,Italian sixth,義大利增六和弦,英
4740,Italienische Ouvertüre {Ger.},義大利式序曲,德
4741,Italienische Sexte {Ger.},義大利增六和弦,德
4742,Ivrea Codex {Lat.},伊夫里亞手抄本,拉
4743,jabo {Sp.},哈布舞曲,西
4744,jácara {Sp.}{Port.},哈卡拉舞曲,西˙葡
4745,jack,動力桿｛鋼琴｝；插孔｛電子樂器｝；插頭；插座,英
4746,Jagdhorn {Ger.},獵號,德
4747,Jagdoboe {Ger.},狩獵雙簧管,德
4748,Jägerlied {Ger.},獵歌,德
4749,jaleadas {Sp.},哈雷阿達斯舞曲,西
4750,jaleo {Sp.},哈萊歐舞曲,西
4751,Jalousieschweller {Ger.},強弱音踏板（管風琴）,德
4752,Jaltarang,排碗｛印度｝,印度
4753,jam session,餘興樂；即興演奏,英
4754,janissary music,土耳其軍樂｛奧圖曼時期｝,英
4755,janissasry stop,土耳其軍樂音栓,英
4756,Janitscharenmusik {Ger.},土耳其兵軍樂,德
4757,Janitscharenzug {Ger.},土耳其軍樂音栓,德
4758,janizary music,土耳其軍樂｛奧圖曼時期｝,英
4759,Janko keyboard,楊柯鍵盤,英
4760,Janko Klaviatur {Ger.},楊柯鍵盤,德
4761,Japanese fiddle,日本胡琴,英
4762,jarabe {Sp.},哈拉貝舞曲｛墨｝,西
4763,jarana {Sp.},哈拉納舞曲｛墨｝；哈拉納琴｛墨｝,西
4764,Jaw's harp,口簧琴,英
4765,jazz,爵士音樂,英
4766,jazz guitar,爵士吉他,英
4767,jedina,傑第納口笛,英
4768,jeté {Fr.},拋弓,法
4769,jeu d'anche{Fr.},簧管音栓,法
4770,jeu d'orgue {Fr.},風琴音栓,法
4771,jeu de timbres {Fr.},鍵盤高音鐵琴,法
4772,jeu liturgique {Fr.},儀式劇,法
4773,jeu parti {Fr.},對論詩歌,法
4774,jeu {Fr.},音栓,法
4775,Jeudi saint {Fr.},聖週四,法
4776,jeune France {Fr.},青年法國,法
4777,"Jeune France, la {Fr.}",青年法國,法
4778,jeux à bouche {Fr.},直笛音栓,法
4779,jeux de mutation {Fr.},變音音栓｛管風琴｝,法
4780,jew's harp,口簧琴,英
4781,Jewish music,猶太音樂,英
4782,Jig,吉格舞曲,英
4783,Jingle,鈴,英
4784,Jingles,串鈴,英
4785,jingling Johnny,塔架鈴｛土耳其｝,英
4786,Jodel {Ger.},真假聲互換唱法；悠得爾唱法,德
4787,jodelling,悠得爾唱法,英
4788,jogleor {Fr.},樂師,法
4789,jongleur {Fr.},樂師,法
4790,joropo {Sp.},霍洛波舞曲,西
4791,jota {Sp.},霍達舞曲,西
4792,jubelnd {Ger.},興高采烈,德
4793,jubilus {Lat.},高興的,拉
4794,jug band {Amer.},酒壺樂隊,美
4795,jukebox,點唱機,英
4796,Jungle style,叢林風格,英
4797,just intonation,純律,英
4798,just relation,純正關係,英
4799,justamente {Sp.},精確的,西
4800,Kacapi {Id.},卡查比琴,印尼
4801,Kadenz {Ger.},裝飾樂段,德
4802,Kâla'au,卡拉奧,英
4803,kalamos {Gr.},卡拉姆斯管,希
4804,kalevala {Fin.},卡列瓦拉,芬蘭
4805,Kalinda,卡連達舞曲,西
4806,Kamânche {Ir.},卡曼傑琴,伊朗
4807,Kamarinskaya {Rus.},卡馬林斯卡亞舞曲,俄
4808,Kammerkantate {Ger.},世俗清唱劇；世俗康塔塔,德
4809,Kammerkomponist {Ger.},宮廷作曲家；榮譽音樂家,德
4810,Kammerkonzert {Ger.},室內協奏曲；室內音樂會,德
4811,Kammermusik {Ger.},室內樂,德
4812,Kammeroper {Ger.},室內歌劇,德
4813,Kammerorchester {Ger.},室內管弦（絃）樂團；室內合奏團,德
4814,Kammersänger {Ger.},宮廷歌手；榮譽歌手,德
4815,Kammerstil {Ger.},室內樂風格,德
4816,Kammersymphonie {Ger.},室內交響曲,德
4817,Kammerton {Ger.},室內音高,德
4818,Kanno {Ger.},卡農,德
4819,Kanon im Einklang {Ger.},同度卡農,德
4820,Kanon in gerader Bewegung {Ger.},平行卡農,德
4821,Kanon in rückgängiger Bewegung {Ger.},逆行卡農,德
4822,Kanon {Ger.},卡農,德
4823,Kantate {Ger.},清唱劇；康塔塔,德
4824,Kantele {Fin.},康特雷琴,芬蘭
4825,Kantor {Ger.},領唱者,德
4826,Kantorei {Ger.},歌者,德
4827,Kanzonette {Ger.},短歌；小曲,德
4828,Kapelle {Ger.},小教堂；聖歌隊；宮廷音樂組合,德
4829,Kapellmeister {Ger.},樂長,德
4830,Kapellmeistermusik {Ger.},樂長音樂,德
4831,karaoke,卡拉OK,英
4832,Karwoche {Ger.},聖週,德
4833,Kash,鼻笛,德
4834,Kassation {Ger.},輕組曲,德
4835,Kastagnetten {Ger.},響板,德
4836,Kastrat {Ger.},閹歌手,德
4837,Kathak {In.},卡塔克舞,印度
4838,Kathakali {In.},卡塔卡利舞,印度
4839,Kaval {Tur.},卡瓦爾笛,土耳其
4840,Kavatine {Ger.},抒情短歌；短曲,德
4841,Kayagumu,伽耶琴（韓國）,韓
4842,kazachok,卡沙喬克舞曲,烏克蘭
4843,kazoo,卡祖｛英美民間膜笛｝,英
4844,Kã’eke’ek {Amer.},搗奏竹筒｛夏威夷｝,美
4845,Kecak Ketjak,克查舞（印尼）,印尼
4846,keck {Ger.},冒失的,德
4847,keen,愛爾蘭輓歌,英
4848,Kehlkopt {Ger.},喉頭,德
4849,Kehlton {Ger.},喉音,德
